,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
159,19,63,0.232,43.0,96.6,103.9,-7.47,1998,Vancouver Grizzlies
160,11,71,0.134,51.0,89.0,100.8,-11.74,1998,Denver Nuggets
161,61,21,0.744,—,100.6,93.4,6.33,1998,Seattle SuperSonics
162,61,21,0.744,—,105.5,97.8,6.88,1998,Los Angeles Lakers
163,56,26,0.683,5.0,99.6,94.4,4.44,1998,Phoenix Suns
164,46,36,0.561,15.0,94.3,92.9,0.83,1998,Portland Trail Blazers
165,27,55,0.329,34.0,93.1,98.7,-5.83,1998,Sacramento Kings
166,19,63,0.232,42.0,88.3,97.4,-9.2,1998,Golden State Warriors
167,17,65,0.207,44.0,95.9,103.3,-7.53,1998,Los Angeles Clippers
168,33,17,0.66,—,89.0,84.0,5.11,1999,Miami Heat
169,33,17,0.66,—,89.5,86.9,3.11,1999,Orlando Magic
170,28,22,0.56,5.0,89.7,87.6,2.56,1999,Philadelphia 76ers
171,27,23,0.54,6.0,86.4,85.4,1.45,1999,New York Knicks
172,19,31,0.38,14.0,93.0,94.9,-1.75,1999,Boston Celtics
173,18,32,0.36,15.0,91.2,93.4,-1.75,1999,Washington Wizards
174,16,34,0.32,17.0,91.4,95.2,-3.2,1999,New Jersey Nets
175,33,17,0.66,—,94.7,90.9,3.86,1999,Indiana Pacers
176,31,19,0.62,2.0,86.3,83.4,2.82,1999,Atlanta Hawks
177,29,21,0.58,4.0,90.4,86.9,3.97,1999,Detroit Pistons
178,28,22,0.56,5.0,91.7,90.0,1.66,1999,Milwaukee Bucks
179,26,24,0.52,7.0,92.9,93.0,0.63,1999,Charlotte Hornets
180,23,27,0.46,10.0,91.1,92.8,-1.32,1999,Toronto Raptors
181,22,28,0.44,11.0,86.4,88.2,-0.94,1999,Cleveland Cavaliers
182,13,37,0.26,20.0,81.9,91.4,-8.58,1999,Chicago Bulls
183,37,13,0.74,—,92.8,84.7,7.12,1999,San Antonio Spurs
184,37,13,0.74,—,93.3,86.8,5.54,1999,Utah Jazz
185,31,19,0.62,6.0,94.2,91.9,1.39,1999,Houston Rockets
186,25,25,0.5,12.0,92.9,92.6,-0.17,1999,Minnesota Timberwolves
187,19,31,0.38,18.0,91.6,94.0,-2.5,1999,Dallas Mavericks
188,14,36,0.28,23.0,93.5,100.1,-6.67,1999,Denver Nuggets
189,8,42,0.16,29.0,88.9,97.5,-8.94,1999,Vancouver Grizzlies
190,35,15,0.7,—,94.8,88.5,5.67,1999,Portland Trail Blazers
191,31,19,0.62,4.0,99.0,96.0,2.68,1999,Los Angeles Lakers
192,27,23,0.54,8.0,95.6,93.3,2.15,1999,Phoenix Suns
193,27,23,0.54,8.0,100.2,100.6,-0.89,1999,Sacramento Kings
194,25,25,0.5,10.0,94.9,95.9,-1.43,1999,Seattle SuperSonics
195,21,29,0.42,14.0,88.3,90.8,-2.63,1999,Golden State Warriors
196,9,41,0.18,26.0,90.4,99.2,-8.94,1999,Los Angeles Clippers
197,52,30,0.634,—,94.4,91.3,2.75,2000,Miami Heat
198,50,32,0.61,2.0,92.1,90.7,1.3,2000,New York Knicks
199,49,33,0.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers
200,41,41,0.5,11.0,100.1,99.4,0.43,2000,Orlando Magic
201,35,47,0.427,17.0,99.3,100.1,-1.0,2000,Boston Celtics
202,31,51,0.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets
203,29,53,0.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards
204,56,26,0.683,—,101.3,96.7,4.15,2000,Indiana Pacers
205,49,33,0.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets
206,45,37,0.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors
207,42,40,0.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons
208,42,40,0.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks
209,32,50,0.39,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers
210,28,54,0.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks
211,17,65,0.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls
212,55,27,0.671,—,96.5,92.0,4.52,2000,Utah Jazz
213,53,29,0.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs
214,50,32,0.61,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves
215,40,42,0.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
216,35,47,0.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
217,34,48,0.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
218,22,60,0.268,33.0,93.9,99.5,-5.1,2000,Vancouver Grizzlies
219,67,15,0.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers
220,59,23,0.72,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers
221,53,29,0.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns
222,45,37,0.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics
223,44,38,0.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings
224,19,63,0.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
225,15,67,0.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
226,56,26,0.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers
227,50,32,0.61,6.0,88.9,86.6,1.73,2001,Miami Heat
228,48,34,0.585,8.0,88.7,86.1,1.98,2001,New York Knicks
229,43,39,0.524,13.0,97.5,96.5,0.39,2001,Orlando Magic
230,36,46,0.439,20.0,94.6,96.8,-2.4,2001,Boston Celtics
231,26,56,0.317,30.0,92.1,97.1,-5.3,2001,New Jersey Nets
232,19,63,0.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards
233,52,30,0.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks
234,47,35,0.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors
235,46,36,0.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets
236,41,41,0.5,11.0,92.6,92.8,-0.77,2001,Indiana Pacers
237,32,50,0.39,20.0,95.6,97.3,-2.08,2001,Detroit Pistons
238,30,52,0.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers
239,25,57,0.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks
240,15,67,0.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls
241,58,24,0.707,—,96.2,88.4,7.92,2001,San Antonio Spurs
242,53,29,0.646,5.0,97.1,92.4,5.0,2001,Utah Jazz
243,53,29,0.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks
244,47,35,0.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves
245,45,37,0.549,13.0,97.2,94.9,2.71,2001,Houston Rockets
246,40,42,0.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets
247,23,59,0.28,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies
248,56,26,0.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers
249,55,27,0.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings
250,51,31,0.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns
251,50,32,0.61,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers
252,44,38,0.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics
253,31,51,0.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers
254,17,65,0.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors
255,52,30,0.634,—,96.2,92.0,3.67,2002,New Jersey Nets
256,49,33,0.598,3.0,96.4,94.1,1.75,2002,Boston Celtics
257,44,38,0.537,8.0,100.5,98.9,1.25,2002,Orlando Magic
258,43,39,0.524,9.0,91.0,89.4,1.27,2002,Philadelphia 76ers
259,37,45,0.451,15.0,92.8,94.2,-1.58,2002,Washington Wizards
260,36,46,0.439,16.0,87.2,88.7,-1.84,2002,Miami Heat
261,30,52,0.366,22.0,91.6,95.6,-4.15,2002,New York Knicks
262,50,32,0.61,—,94.3,92.2,1.69,2002,Detroit Pistons
263,44,38,0.537,6.0,93.9,92.9,0.57,2002,Charlotte Hornets
264,42,40,0.512,8.0,91.4,91.8,-0.71,2002,Toronto Raptors
265,42,40,0.512,8.0,96.8,96.5,-0.07,2002,Indiana Pacers
266,41,41,0.5,9.0,97.5,97.7,-0.62,2002,Milwaukee Bucks
267,33,49,0.402,17.0,94.0,98.3,-4.41,2002,Atlanta Hawks
268,29,53,0.354,21.0,95.3,98.6,-3.52,2002,Cleveland Cavaliers
269,21,61,0.256,29.0,89.5,98.0,-8.52,2002,Chicago Bulls
270,58,24,0.707,—,96.7,90.5,6.28,2002,San Antonio Spurs
271,57,25,0.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks
272,50,32,0.61,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves
273,44,38,0.537,14.0,96.0,95.1,1.21,2002,Utah Jazz
274,28,54,0.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets
275,27,55,0.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets
276,23,59,0.28,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
277,61,21,0.744,—,104.6,97.0,7.61,2002,Sacramento Kings
278,58,24,0.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers
279,49,33,0.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers
280,45,37,0.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics
281,39,43,0.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
282,36,46,0.439,25.0,95.1,95.8,-0.3,2002,Phoenix Suns
283,21,61,0.256,40.0,97.7,103.1,-4.8,2002,Golden State Warriors
284,49,33,0.598,—,95.4,90.1,4.42,2003,New Jersey Nets
285,48,34,0.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers
286,44,38,0.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics
287,42,40,0.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic
288,37,45,0.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards
289,37,45,0.451,12.0,95.9,97.2,-1.61,2003,New York Knicks
290,25,57,0.305,24.0,85.6,90.6,-5.13,2003,Miami Heat
291,50,32,0.61,—,91.4,87.7,2.97,2003,Detroit Pistons
292,48,34,0.585,2.0,96.8,93.3,2.79,2003,Indiana Pacers
293,47,35,0.573,3.0,93.9,91.8,1.52,2003,New Orleans Hornets
294,42,40,0.512,8.0,99.5,99.3,-0.24,2003,Milwaukee Bucks
295,35,47,0.427,15.0,94.1,97.6,-3.87,2003,Atlanta Hawks
296,30,52,0.366,20.0,95.0,100.1,-5.31,2003,Chicago Bulls
297,24,58,0.293,26.0,90.9,96.8,-6.1,2003,Toronto Raptors
298,17,65,0.207,33.0,91.4,101.0,-9.59,2003,Cleveland Cavaliers
299,60,22,0.732,—,95.8,90.4,5.65,2003,San Antonio Spurs
300,60,22,0.732,—,103.0,95.2,7.9,2003,Dallas Mavericks
301,51,31,0.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves
302,47,35,0.573,13.0,94.7,92.3,2.76,2003,Utah Jazz
303,43,39,0.524,17.0,93.8,92.3,1.89,2003,Houston Rockets
304,28,54,0.341,32.0,97.5,100.7,-2.6,2003,Memphis Grizzlies
305,17,65,0.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets
306,59,23,0.72,—,101.7,95.2,6.68,2003,Sacramento Kings
307,50,32,0.61,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers
308,50,32,0.61,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers
309,44,38,0.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns
310,40,42,0.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics
311,38,44,0.463,21.0,102.4,103.6,-0.6,2003,Golden State Warriors
312,27,55,0.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers
313,47,35,0.573,—,90.3,87.8,1.88,2004,New Jersey Nets
314,42,40,0.512,5.0,90.3,89.7,-0.13,2004,Miami Heat
315,39,43,0.476,8.0,92.0,93.5,-1.97,2004,New York Knicks
316,36,46,0.439,11.0,95.3,96.7,-1.99,2004,Boston Celtics
317,33,49,0.402,14.0,88.0,90.5,-2.95,2004,Philadelphia 76ers
318,25,57,0.305,22.0,91.8,97.4,-6.12,2004,Washington Wizards
319,21,61,0.256,26.0,94.0,101.1,-7.25,2004,Orlando Magic
320,61,21,0.744,—,91.4,85.6,4.93,2004,Indiana Pacers
321,54,28,0.659,7.0,90.1,84.3,5.04,2004,Detroit Pistons
322,41,41,0.5,20.0,91.8,91.9,-0.72,2004,New Orleans Hornets
323,41,41,0.5,20.0,98.0,97.0,0.42,2004,Milwaukee Bucks
324,35,47,0.427,26.0,92.9,95.5,-3.07,2004,Cleveland Cavaliers
325,33,49,0.402,28.0,85.4,88.5,-3.42,2004,Toronto Raptors
326,28,54,0.341,33.0,92.8,97.5,-5.0,2004,Atlanta Hawks
327,23,59,0.28,38.0,89.7,96.0,-6.69,2004,Chicago Bulls
328,58,24,0.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves
329,57,25,0.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs
330,52,30,0.634,6.0,105.2,100.8,4.86,2004,Dallas Mavericks
331,50,32,0.61,8.0,96.7,94.3,2.95,2004,Memphis Grizzlies
332,45,37,0.549,13.0,89.8,88.0,2.28,2004,Houston Rockets
333,43,39,0.524,15.0,97.2,96.1,1.65,2004,Denver Nuggets
334,42,40,0.512,16.0,88.7,89.9,-0.53,2004,Utah Jazz
335,56,26,0.683,—,98.2,94.3,4.35,2004,Los Angeles Lakers
336,55,27,0.671,1.0,102.8,97.8,5.41,2004,Sacramento Kings
337,41,41,0.5,15.0,90.7,92.0,-0.58,2004,Portland Trail Blazers
338,37,45,0.451,19.0,93.3,94.0,-0.07,2004,Golden State Warriors
339,37,45,0.451,19.0,97.1,97.8,0.02,2004,Seattle SuperSonics
340,29,53,0.354,27.0,94.2,97.9,-2.94,2004,Phoenix Suns
341,28,54,0.341,28.0,94.8,99.4,-3.74,2004,Los Angeles Clippers
342,45,37,0.549,—,101.3,100.4,0.35,2005,Boston Celtics
343,43,39,0.524,2.0,99.1,99.9,-1.07,2005,Philadelphia 76ers
344,42,40,0.512,3.0,91.4,92.9,-1.82,2005,New Jersey Nets
345,33,49,0.402,12.0,99.7,101.4,-1.81,2005,Toronto Raptors
346,33,49,0.402,12.0,97.3,99.7,-2.72,2005,New York Knicks
347,54,28,0.659,—,93.3,89.5,3.31,2005,Detroit Pistons
348,47,35,0.573,7.0,94.5,93.4,0.65,2005,Chicago Bulls
349,44,38,0.537,10.0,93.0,92.2,0.49,2005,Indiana Pacers
350,42,40,0.512,12.0,96.5,95.7,0.27,2005,Cleveland Cavaliers
351,30,52,0.366,24.0,97.2,100.2,-3.09,2005,Milwaukee Bucks
352,59,23,0.72,—,101.5,95.0,5.77,2005,Miami Heat
353,45,37,0.549,14.0,100.5,100.8,-0.71,2005,Washington Wizards
354,36,46,0.439,23.0,99.5,101.8,-2.52,2005,Orlando Magic
355,18,64,0.22,41.0,94.3,100.2,-6.15,2005,Charlotte Bobcats
356,13,69,0.159,46.0,92.7,102.5,-9.62,2005,Atlanta Hawks
357,52,30,0.634,—,98.9,96.6,2.59,2005,Seattle SuperSonics
